file_name,PULP_CBC_CMD,GUROBI,HUNGARIAN
inst_1_100.txt,0.6848,0.3068,0.0094
inst_1_1000.txt,224.9044,21.3063,0.8853
inst_1_200.txt,2.4795,0.8818,0.0309
inst_1_50.txt,0.1371,0.0382,0.0019
inst_1_500.txt,31.2689,5.3379,0.2197
insta_2_10_100.txt,1.2712,0.1697,0.1235
insta_2_10_1000.txt,68.0873,31.4331,17.6061
insta_2_10_200.txt,1.9885,0.7414,0.6041
insta_2_10_50.txt,0.1496,0.0461,0.0200
insta_2_10_500.txt,16.7142,7.3562,4.2493
insta_2_1_100.txt,0.5969,0.1662,0.1340
insta_2_1_1000.txt,68.2288,32.6078,20.0450
insta_2_1_200.txt,2.1869,0.7869,0.6276
insta_2_1_50.txt,0.1694,0.0463,0.0303
insta_2_1_500.txt,18.0618,8.3452,4.8622
insta_2_2_100.txt,0.6307,0.2041,0.1466
insta_2_2_1000.txt,68.2693,32.5202,28.1740
insta_2_2_200.txt,2.1472,0.8041,0.6408
insta_2_2_50.txt,0.1706,0.0466,0.0291
insta_2_2_500.txt,18.6799,8.0087,4.7833
insta_2_3_100.txt,0.6476,0.2090,0.1655
insta_2_3_1000.txt,88.7947,34.6823,23.0922
insta_2_3_200.txt,2.3936,0.7778,0.6742
insta_2_3_50.txt,0.1907,0.0487,0.0400
insta_2_3_500.txt,21.7990,8.1633,4.6040
insta_2_4_100.txt,0.6705,0.1987,0.1508
insta_2_4_1000.txt,78.2705,34.3904,25.6328
insta_2_4_200.txt,2.4611,0.8520,0.5174
insta_2_4_50.txt,0.1930,0.0530,0.0363
insta_2_4_500.txt,19.5546,8.3879,4.3230
insta_2_5_100.txt,0.7022,0.1971,0.1484
insta_2_5_1000.txt,88.9638,36.9112,22.0929
insta_2_5_200.txt,2.6219,0.9041,0.6383
insta_2_5_50.txt,0.2188,0.0627,0.0397
insta_2_5_500.txt,21.0264,9.2427,5.3170
insta_2_6_100.txt,0.7604,0.2121,0.1611
insta_2_6_1000.txt,72.5033,36.9455,25.6646
insta_2_6_200.txt,2.4932,0.9167,0.7617
insta_2_6_50.txt,0.1951,0.0606,0.0319
insta_2_6_500.txt,20.9974,9.1430,5.7950
insta_2_7_100.txt,0.7208,0.2121,0.1759
insta_2_7_1000.txt,77.8043,37.0666,25.0144
insta_2_7_200.txt,2.3827,0.8798,0.9270
insta_2_7_50.txt,0.1800,0.0536,0.0618
insta_2_7_500.txt,21.1981,8.7372,5.8772
insta_2_8_100.txt,0.6842,0.2114,0.1525
insta_2_8_1000.txt,81.3618,39.5516,26.2488
insta_2_8_200.txt,2.4708,0.9950,0.6968
insta_2_8_50.txt,0.1970,0.0659,0.0356
insta_2_8_500.txt,20.5180,9.7934,5.2738
